char 1, char2, index, text
Matrice (Matrice), Melisandre (red-woman), 7317, "in the sky? Dalla and Matrice were talking by the well; and Dalla said she heard the red-woman"
Melisandre (red-woman), Cressen (Maester-Cressen), 7461, "dragonsbreath. If the dragons are breathing; doesnt that mean they are coming to life?"  The red-woman; Maester-Cressen"
Shireen-Baratheon (Shireen), Cressen (Cressen), 8771, "get cold now?" Shireen was a summer child; and had never known true cold.  "In time;" Cressen"
Pylos (Pylos), Shireen-Baratheon (Shireen), 9554, "years yet; I pray; and then not for long. "Ah; here is Pylos with the bird."  Shireen"
Pylos (Pylos), Cressen (Cressen), 9590, "for long. "Ah; here is Pylos with the bird."  Shireen gave a cry of delight. Even Cressen"
Shireen-Baratheon (Shireen), Cressen (Cressen), 9590, "for long. "Ah; here is Pylos with the bird."  Shireen gave a cry of delight. Even Cressen"
Pylos (Pylos), Cressen (Cressen), 9977, "room to land on the table beside him.  "Ill see to your breakfast now;" Pylos announced. Cressen"
Cressen (Cressen), Shireen-Baratheon (Lady-Shireen), 10011, "table beside him.  "Ill see to your breakfast now;" Pylos announced. Cressen nodded. "This is the Lady-Shireen"
Pylos (Pylos), Shireen-Baratheon (Lady-Shireen), 10011, "table beside him.  "Ill see to your breakfast now;" Pylos announced. Cressen nodded. "This is the Lady-Shireen"
Patchface (Patchface), Steffon-Baratheon (Lord-Steffon), 10999, "might have silenced him forever; but now ;  Patchface had come to them as a boy. Lord-Steffon"
Steffon-Baratheon (Lord-Steffon), Aerys-II-Targaryen (kingAerys), 11083, "as a boy. Lord-Steffon of cherished memory had found him in Volantis; across the narrow sea. The kingAerys"
Robert-Baratheon (Robert), Stannis-Baratheon (Stannis), 11669, "home with us. Robert will be delighted with him; and perhaps in time he will even teach Stannis"
Stannis-Baratheon (Stannis), Cressen (Cressen), 11705, "with him; and perhaps in time he will even teach Stannis how to laugh."  It saddened Cressen"
Cressen (Cressen), Stannis-Baratheon (Stannis), 11761, "Stannis how to laugh."  It saddened Cressen to remember that letter. No one had ever taught Stannis"
Stannis-Baratheon (Stannis), Patchface (Patchface), 11806, "remember that letter. No one had ever taught Stannis how to laugh; least of all the boy Patchface"
Cressen (Cressen), Jommy (Jommy), 12551, "skin white and wrinkled and powdered with wet sand. Cressen had thought him another corpse; but when Jommy"
Jommy (Jommy), Patchface (Patchface), 12690, "burial wagon; the boy coughed water and sat up. To his dying day; Jommy had sworn that Patchface"
Patchface (Patchface), Steffon-Baratheon (Lord-Steffon), 12956, "breathe water in return for his seed. Patchface himself had said nothing. The witty; clever lad that Lord-Steffon"
Cressen (Cressen), Patchface (Patchface), 13718, "had the wit for it." But Cressen had refused; and in the end he had won. Whether Patchface"
Steffon-Baratheon (Lord-Steffon), Pylos (Pylos), 14308, "will never be heard again." He can sing prettily in four tongues; Lord-Steffon had written ;  Pylos"
Pylos (Pylos), Cressen (Cressen), 14397, "had written ;  Pylos strode through the door. "Maester; pardons."  "You have forgotten the porridge;" Cressen"
Steffon-Baratheon (Lord-Steffon), Cressen (Cressen), 14397, "had written ;  Pylos strode through the door. "Maester; pardons."  "You have forgotten the porridge;" Cressen"
Cressen (Cressen), Pylos (Pylos), 14438, "the door. "Maester; pardons."  "You have forgotten the porridge;" Cressen said; amused. That was most unlike Pylos"
Cressen (Cressen), Davos-Seaworth (Ser-Davos), 14460, "pardons."  "You have forgotten the porridge;" Cressen said; amused. That was most unlike Pylos.  "Maester; Ser-Davos"
Pylos (Pylos), Davos-Seaworth (Ser-Davos), 14460, "pardons."  "You have forgotten the porridge;" Cressen said; amused. That was most unlike Pylos.  "Maester; Ser-Davos"
Davos-Seaworth (Davos), Stannis-Baratheon (kingStannis), 14633, "to know at once."  "Davos ;  last night; you say? Where is he?"  "With the-kingStannis"
Cressen (Cressen), Shireen-Baratheon (Shireen), 14911, ""I should have been told;" Cressen complained. "I should have been woken." He disentangled his fingers from Shireen"
Shireen-Baratheon (Shireen), Pylos (Pylos), 14977, "He disentangled his fingers from Shireen. "Pardons; my lady; but I must speak with your lord father. Pylos"
Shireen-Baratheon (Shireen), Patchface (Patchface), 15124, "it seems to me they add a few every night; just to vex me."  Shireen and Patchface"
Cressen (Cressen), Stannis-Baratheon (Lord-Stannis), 15426, "places for the frail; Cressen was reminded as he descended the turnpike stairs of Sea Dragon Tower. Lord-Stannis"
Cressen (Cressen), Pylos (Pylos), 17051, "outside the Stone Drum knew the maesters by sight; and passed them through. "Wait here;" Cressen told Pylos"
Pylos (Pylos), Cressen (Cressen), 17128, "told Pylos; within. "It best I see him alone."  "It is a long climb; Maester."  Cressen"
Cressen (Cressen), Davos-Seaworth (Ser-Davos), 17887, "a leather glove on his maimed left hand. When he saw Cressen; he checked his descent.  "Ser-Davos"
Davos-Seaworth (Davos-Shorthand), Stannis-Baratheon (Lord-Stannis), 18086, "said that no one had ever handled a ship by night half so well as Davos-Shorthand. Before Lord-Stannis"
Davos-Seaworth (Onion-Knight), Stannis-Baratheon (Stannis), 18681, "To them Ill always be the Onion-Knight." His left hand closed; stubby fingers locking into a fist; Stannis"
Gulian-Swann (Gulian-Swann), Lord-Penrose (old-Penrose), 18792, "the ends off at the last joint; all but the thumb. "I broke bread with Gulian-Swann and old-Penrose"
Lord-Penrose (old-Penrose), Beric-Dondarrion (Beric-Dondarrion), 18887, "Gulian-Swann and old-Penrose; and the Tarths consented to a midnight meeting in a grove. The others; well; Beric-Dondarrion"
Beric-Dondarrion (Beric-Dondarrion), Bryce-Caron (Lord-Caron), 18934, "a midnight meeting in a grove. The others; well; Beric-Dondarrion is gone missing; some say dead; and Lord-Caron"
Beric-Dondarrion (Beric-Dondarrion), Renly-Baratheon (Renly), 18948, "in a grove. The others; well; Beric-Dondarrion is gone missing; some say dead; and Lord-Caron is with Renly"
Bryce-Caron (Lord-Caron), Renly-Baratheon (Renly), 18948, "in a grove. The others; well; Beric-Dondarrion is gone missing; some say dead; and Lord-Caron is with Renly"
Renly-Baratheon (Renly), Bryce-Caron (Bryce), 18955, "a grove. The others; well; Beric-Dondarrion is gone missing; some say dead; and Lord-Caron is with Renly. Bryce"
Bryce-Caron (Bryce), Renly-Baratheon (Renly), 19020, "and Lord-Caron is with Renly. Bryce the Orange; of the Rainbow Guard."  "The Rainbow Guard?"  "Renly"
Loras-Tyrell (Loras-Tyrell), Renly-Baratheon (Renly-Baratheon), 19245, "color. Loras-Tyrell their Lord Commander."  It was just the sort of notion that would appeal to Renly-Baratheon"
Cressen (Cressen), Renly-Baratheon (Renly), 19790, "one-and-twenty; and still he played his games. Look at me; Im a king; Cressen thought sadly. Oh; Renly"
Davos-Seaworth (Davos), Cressen (Maester-Cressen), 20286, "the false sort; and Id not do that;" Davos said. "He had the truth from me."  Maester-Cressen"
Cressen (Maester-Cressen), Davos-Seaworth (Davos), 20311, "Id not do that;" Davos said. "He had the truth from me."  Maester-Cressen remembered the day Davos"
Cressen (Maester-Cressen), Stannis-Baratheon (Lord-Stannis), 20373, "from me."  Maester-Cressen remembered the day Davos had been knighted; after the siege of Storm End. Lord-Stannis"
Davos-Seaworth (Davos), Stannis-Baratheon (Lord-Stannis), 20373, "from me."  Maester-Cressen remembered the day Davos had been knighted; after the siege of Storm End. Lord-Stannis"
Mace-Tyrell (Lord-Tyrell), Paxter-Redwyne (Paxter-Redwyne), 20502, "held the castle for close to a year; against the great host of the Lords Lord-Tyrell and Paxter-Redwyne"
Eddard-Stark (Eddard-Stark), Stannis-Baratheon (Lord-Stannis), 21178, "kept the garrison alive long enough for Eddard-Stark to reach Storm End and break the siege.  Lord-Stannis"
Eddard-Stark (Eddard-Stark), Davos-Seaworth (Davos), 21197, "alive long enough for Eddard-Stark to reach Storm End and break the siege.  Lord-Stannis had rewarded Davos"
Stannis-Baratheon (Lord-Stannis), Davos-Seaworth (Davos), 21197, "alive long enough for Eddard-Stark to reach Storm End and break the siege.  Lord-Stannis had rewarded Davos"
Davos-Seaworth (Davos), Stannis-Baratheon (Stannis), 21435, "left hand; to pay for all his years of smuggling. Davos had submitted; on the condition that Stannis"
Davos-Seaworth (Ser-Davos), Stannis-Baratheon (Lord-Stannis), 22039, "nor soften a hard truth. "Ser-Davos; truth can be a bitter draught; even for a man like Lord-Stannis"
Robert-Baratheon (King-Robert), Cressen (Maester-Cressen), 24409, "shadow of a crown. His brother; the late King-Robert; had grown a beard in his final years. Maester-Cressen"
Cressen (Maester-Cressen), Stannis-Baratheon (Lord-Stannis), 25099, "Sometimes when the world grew very still and silent of a night; Maester-Cressen fancied he could hear Lord-Stannis"
Cressen (Cressen), Davos-Seaworth (Davos), 25559, " "I would be of no help to you if I did not;" Cressen said. "I met Davos"
Renly-Baratheon (Lord-of-Storm), Stannis-Baratheon (Stannis), 26220, "been the Lord-of-Storm End these past thirteen years. These lords are his sworn bannermen; "  "His;" Stannis"
Renly-Baratheon (Renly), Robert-Baratheon (Robert), 26532, "a younger brother should be to an elder; as Renly should be to me. And what was Robert"
Renly-Baratheon (Renly), Stannis-Baratheon (Lord-of-Dragonstone), 26572, "to an elder; as Renly should be to me. And what was Robert thanks? He names me Lord-of-Dragonstone"
Robert-Baratheon (Robert), Stannis-Baratheon (Lord-of-Dragonstone), 26572, "to an elder; as Renly should be to me. And what was Robert thanks? He names me Lord-of-Dragonstone"
Robert-Baratheon (Robert), Renly-Baratheon (Renly), 26618, "And what was Robert thanks? He names me Lord-of-Dragonstone; and gives Storm End and its incomes to Renly"
Stannis-Baratheon (Lord-of-Dragonstone), Renly-Baratheon (Renly), 26618, "And what was Robert thanks? He names me Lord-of-Dragonstone; and gives Storm End and its incomes to Renly"
Robert-Baratheon (Robert), Cressen (Maester-Cressen), 27306, "far too small to bring down the power of House Lannister.  "Robert did you an injustice;" Maester-Cressen"
Renly-Baratheon (Renly), Stannis-Baratheon (Stannis), 27506, "man strength to rule here; and Renly was but a child."  "He is a child still;" Stannis"
Renly-Baratheon (Renly), Petyr-Baelish (Littlefinger), 27710, "brow. What has Renly ever done to earn a throne? He sits in council and jests with Littlefinger"
Renly-Baratheon (Lord-Renly), Steffon-Baratheon (Lord-Steffon), 28374, "blood of mine?"  "It would surprise me if Lord-Renly sought counsel; Your Grace." The youngest of Lord-Steffon"
Renly-Baratheon (Renly), Robert-Baratheon (Robert), 28536, "from impulse rather than calculation. In that; as in so much else; Renly was like his brother Robert"
Renly-Baratheon (Renly), Stannis-Baratheon (Stannis), 28564, "calculation. In that; as in so much else; Renly was like his brother Robert; and utterly unlike Stannis"
Robert-Baratheon (Robert), Stannis-Baratheon (Stannis), 28564, "calculation. In that; as in so much else; Renly was like his brother Robert; and utterly unlike Stannis"
Ardrian-Celtigar (Celtigar), Monford-Velaryon (Velaryon), 29086, "so far away. "Tonight I am to sup with my lords bannermen; such as they are. Celtigar; Velaryon"
Ardrian-Celtigar (Celtigar), Bar-Emmon (Bar-Emmon), 29097, "far away. "Tonight I am to sup with my lords bannermen; such as they are. Celtigar; Velaryon; Bar-Emmon"
Monford-Velaryon (Velaryon), Bar-Emmon (Bar-Emmon), 29097, "far away. "Tonight I am to sup with my lords bannermen; such as they are. Celtigar; Velaryon; Bar-Emmon"
Salladhor-Saan (Salladhor-Saan), Morosh (Morosh-the-Myrman), 29314, "That Lysene pirate Salladhor-Saan will be there with the latest tally of what I owe him; and Morosh-the-Myrman"
Morosh (Morosh-the-Myrman), Guncer-Sunglass (Lord-Sunglass), 29387, "what I owe him; and Morosh-the-Myrman will caution me with talk of tides and autumn gales; while Lord-Sunglass"
Guncer-Sunglass (Lord-Sunglass), Ardrian-Celtigar (Celtigar), 29438, "with talk of tides and autumn gales; while Lord-Sunglass mutters piously of the will of the Seven. Celtigar"
Ardrian-Celtigar (Celtigar), Monford-Velaryon (Velaryon), 29499, "of the will of the Seven. Celtigar will want to know which storm lords are joining us. Velaryon"
Renly-Baratheon (Renly), Stannis-Baratheon (Stannis), 29791, "your brother were to make common cause against them; "  "I will not treat with Renly;" Stannis"
Eddard-Stark (Eddard-Stark), Robb-Stark (KingintheNorth), 30091, "there was no changing it. "Others might serve your needs as well. Eddard-Stark son has been proclaimed KingintheNorth"
Robb-Stark (KingintheNorth), Stannis-Baratheon (Stannis), 30180, "proclaimed KingintheNorth; with all the power of Winterfell and Riverrun behind him."  "A green boy;" said Stannis"
Eddard-Stark (Eddard-Stark), Robert-Baratheon (Robert), 30425, "his father murder; "  "Why should I avenge Eddard-Stark? The man was nothing to me. Oh; Robert"
Mace-Tyrell (Mace-Tyrell), Paxter-Redwyne (Paxter-Redwyne), 30681, "way he treated me. I held Storm End for him; watching good men starve while Mace-Tyrell and Paxter-Redwyne"
Mace-Tyrell (Mace-Tyrell), Robert-Baratheon (Robert), 30726, "for him; watching good men starve while Mace-Tyrell and Paxter-Redwyne feasted within sight of my walls. Did Robert"
Paxter-Redwyne (Paxter-Redwyne), Robert-Baratheon (Robert), 30726, "for him; watching good men starve while Mace-Tyrell and Paxter-Redwyne feasted within sight of my walls. Did Robert"
Paxter-Redwyne (Paxter-Redwyne), Eddard-Stark (Stark), 30757, "while Mace-Tyrell and Paxter-Redwyne feasted within sight of my walls. Did Robert thank me? No. He thanked Stark"
Robert-Baratheon (Robert), Eddard-Stark (Stark), 30757, "while Mace-Tyrell and Paxter-Redwyne feasted within sight of my walls. Did Robert thank me? No. He thanked Stark"
Willem-Darry (Willem-Darry), Viserys-Targaryen (Viserys), 31029, "done; brother; whatever should I do without you? No; he blamed me for letting Willem-Darry steal away Viserys"
Lysa-Arryn (Lady-Arryn), Cersei-Lannister (the-queen), 31607, "join with the Starks. There are others you might sound out as well. What of Lady-Arryn? If the-queen"
Shireen-Baratheon (Shireen), Stannis-Baratheon (Lord-Stannis), 31788, "heir. If you were to betroth Shireen to him; "  "The boy is weak and sickly;" Lord-Stannis"
Cersei-Lannister (Lannister-woman), Lysa-Arryn (Lysa), 32020, "done him good; but that damnable Lannister-woman had LordJonArryn poisoned before it could be done; and now Lysa"
Lysa-Arryn (Lady-Arryn), Renly-Baratheon (Renly), 33112, "a whip. She cracked it now. "Lady-Arryn owes you her allegiance; as do the Starks; your brother Renly"
Robert-Baratheon (Robert), Selyse-Baratheon (Selyse), 33833, "own wife. When he had gone to King Landing to sit on Robert council; he had left Selyse"
Mace-Tyrell (Mace-Tyrell), Selyse-Baratheon (Lady-Selyse), 34504, "too close to Highgarden for your lord uncle to risk Mace-Tyrell wrath."  "There is another way." Lady-Selyse"
Davos-Seaworth (Davos), Stannis-Baratheon (Stannis), 35303, "End and Highgarden for a start; and all their lords bannermen."  "Davos would tell you different;" Stannis"
Davos-Seaworth (Davos), Renly-Baratheon (Renly), 35342, "all their lords bannermen."  "Davos would tell you different;" Stannis said. "Those swords are sworn to Renly"
Stannis-Baratheon (Stannis), Renly-Baratheon (Renly), 35342, "all their lords bannermen."  "Davos would tell you different;" Stannis said. "Those swords are sworn to Renly"
Renly-Baratheon (Renly), Robert-Baratheon (Robert), 35406, "said. "Those swords are sworn to Renly. They love my charming young brother; as they once loved Robert"
Robert-Baratheon (Robert), Renly-Baratheon (Renly), 35479, "loved Robert ;  and as they have never loved me."  "Yes;" she answered; "but if Renly"
Renly-Baratheon (Renly), Stannis-Baratheon (Stannis), 35503, "they have never loved me."  "Yes;" she answered; "but if Renly should die ; "  Stannis"
Renly-Baratheon (Renly), Cressen (Cressen), 35556, ""but if Renly should die ; "  Stannis looked at his lady with narrowed eyes; until Cressen"
Stannis-Baratheon (Stannis), Cressen (Cressen), 35556, ""but if Renly should die ; "  Stannis looked at his lady with narrowed eyes; until Cressen"
Renly-Baratheon (Renly), Stannis-Baratheon (Stannis), 35703, "to be thought. Your Grace; whatever follies Renly has committed; "  "Follies? I call them treasons." Stannis"
Melisandre (Melisandre), Cressen (Cressen), 35900, "these rainbow knights of his."  "Melisandre has gazed into the flames; and seen him dead."  Cressen"
Cressen (Cressen), Selyse-Baratheon (Lady-Selyse), 36007, "horrorstruck. "Fratricide ;  my lord; this is evil; unthinkable ;  please; listen to me."  Lady-Selyse"
Lysa-Arryn (Lysa-Arryn), Cressen (Cressen), 36217, "the Starks on his knees and sells our daughter to Lysa-Arryn?"  "I have heard your counsel; Cressen"
Cressen (Cressen), Stannis-Baratheon (Lord-Stannis), 36232, "Starks on his knees and sells our daughter to Lysa-Arryn?"  "I have heard your counsel; Cressen;" Lord-Stannis"
Lysa-Arryn (Lysa-Arryn), Stannis-Baratheon (Lord-Stannis), 36232, "Starks on his knees and sells our daughter to Lysa-Arryn?"  "I have heard your counsel; Cressen;" Lord-Stannis"
Stannis-Baratheon (Lord-Stannis), Cressen (Maester-Cressen), 36298, ""I have heard your counsel; Cressen;" Lord-Stannis said. "Now I will hear hers. You are dismissed."  Maester-Cressen"
Cressen (Maester-Cressen), Selyse-Baratheon (Lady-Selyse), 36343, ""Now I will hear hers. You are dismissed."  Maester-Cressen bent a stiff knee. He could feel Lady-Selyse"
Pylos (Pylos), Cressen (Cressen), 36563, "erect. "Help me;" he said to Pylos.  When he was safe back in his own rooms; Cressen"
Cressen (Cressen), Robert-Baratheon (Robert), 37076, "his collar; he put aside the hope of children; yet Cressen had oft felt a father nonetheless. Robert"
Cressen (Cressen), Stannis-Baratheon (Stannis), 37085, "collar; he put aside the hope of children; yet Cressen had oft felt a father nonetheless. Robert; Stannis"
Robert-Baratheon (Robert), Stannis-Baratheon (Stannis), 37085, "collar; he put aside the hope of children; yet Cressen had oft felt a father nonetheless. Robert; Stannis"
Cressen (Cressen), Renly-Baratheon (Renly), 37092, "he put aside the hope of children; yet Cressen had oft felt a father nonetheless. Robert; Stannis; Renly"
Robert-Baratheon (Robert), Renly-Baratheon (Renly), 37092, "he put aside the hope of children; yet Cressen had oft felt a father nonetheless. Robert; Stannis; Renly"
Stannis-Baratheon (Stannis), Renly-Baratheon (Renly), 37092, "he put aside the hope of children; yet Cressen had oft felt a father nonetheless. Robert; Stannis; Renly"
Renly-Baratheon (Renly), Steffon-Baratheon (Lord-Steffon), 37161, "father nonetheless. Robert; Stannis; Renly ;  three sons he had raised after the angry sea claimed Lord-Steffon"
Robert-Baratheon (Robert), Steffon-Baratheon (Lord-Steffon), 37161, "father nonetheless. Robert; Stannis; Renly ;  three sons he had raised after the angry sea claimed Lord-Steffon"
Stannis-Baratheon (Stannis), Steffon-Baratheon (Lord-Steffon), 37161, "father nonetheless. Robert; Stannis; Renly ;  three sons he had raised after the angry sea claimed Lord-Steffon"
Selyse-Baratheon (Lady-Selyse), Melisandre (red-woman), 37349, "allow it.  The woman was the heart of it. Not the Lady-Selyse; the other one. The red-woman"
Cressen (Cressen), Melisandre (Melisandre), 37475, "named her; afraid to speak her name. "I will speak her name;" Cressen told his stone hellhound. "Melisandre"
Stannis-Baratheon (Lord-Stannis), Melisandre (red-woman), 39961, " And this very night Lord-Stannis would feast his bannermen; his lady wife ;  and the red-woman"
Melisandre (Melisandre), Cressen (Maester-Cressen), 40014, "his bannermen; his lady wife ;  and the red-woman; Melisandre of Asshai.  I must rest; Maester-Cressen"
Stannis-Baratheon (Lord-Stannis), Cressen (Cressen), 43365, "raucous shouting such as marred the dignity of other men feasts; Lord-Stannis did not permit such.  Cressen"
Cressen (Cressen), Stannis-Baratheon (kingStannis), 43446, "not permit such.  Cressen made his way toward the raised platform where the lords sat with the-kingStannis"
Stannis-Baratheon (kingStannis), Patchface (Patchface), 43484, "way toward the raised platform where the lords sat with the-kingStannis. He had to step wide around Patchface"
Patchface (Patchface), Cressen (Cressen), 43629, "saw nor heard his approach. As he hopped from one leg to the other; Patchface lurched into Cressen"
Melisandre (Melisandre), Patchface (Patchface), 45938, "is a riddle;" Melisandre said. "A clever fool and a foolish wise man." Bending; she picked up Patchface"
Patchface (Patchface), Cressen (Cressen), 45990, "wise man." Bending; she picked up Patchface helm from where it had fallen and set it on Cressen"
Pylos (Lord-Maester), Cressen (Cressen), 46169, "ears. "A crown to match your chain; Lord-Maester;" she announced. All around them; men were laughing.  Cressen"
Stannis-Baratheon (King-Stannis), Cressen (Cressen), 46673, "silk and made her way back to the high table; where King-Stannis and his queen were seated. Cressen"
Cressen (Cressen), Patchface (Patchface), 46722, "high table; where King-Stannis and his queen were seated. Cressen handed the antlered tin bucket back to Patchface"
Stannis-Baratheon (King-Stannis), Patchface (Patchface), 46722, "high table; where King-Stannis and his queen were seated. Cressen handed the antlered tin bucket back to Patchface"
Cressen (Cressen), Pylos (Maester-Pylos), 46758, "queen were seated. Cressen handed the antlered tin bucket back to Patchface; and made to follow.  Maester-Pylos"
Patchface (Patchface), Pylos (Maester-Pylos), 46758, "queen were seated. Cressen handed the antlered tin bucket back to Patchface; and made to follow.  Maester-Pylos"
Cressen (Cressen), Ardrian-Celtigar (Lord-Celtigar), 47087, "you were not needed here."  Cressen looked over the knights and captains and lords sitting silent. Lord-Celtigar"
Duram-Bar-Emmon (Lord-Bar-Emmon), Axell-Florent (Ser-Axell-Florent), 47393, "fair hair. Lord-Bar-Emmon; that plump boy of fourteen; was swathed in purple velvet trimmed with white seal; Ser-Axell-Florent"
Axell-Florent (Ser-Axell-Florent), Guncer-Sunglass (Lord-Sunglass), 47457, "in purple velvet trimmed with white seal; Ser-Axell-Florent remained homely even in russet and fox fur; pious Lord-Sunglass"
Guncer-Sunglass (Lord-Sunglass), Salladhor-Saan (Salladhor-Saan), 47543, "and fox fur; pious Lord-Sunglass wore moonstones at throat and wrist and finger; and the Lysene captain Salladhor-Saan"
Salladhor-Saan (Salladhor-Saan), Davos-Seaworth (Ser-Davos), 47609, "and finger; and the Lysene captain Salladhor-Saan was a sunburst of scarlet satin; gold; and jewels. Only Ser-Davos"
Stannis-Baratheon (Lord-Stannis), Pylos (Pylos), 47867, "me; old man." It sounded so like Lord-Stannis voice; but it could not be; it could not. "Pylos"
Cressen (Maester-Cressen), Stannis-Baratheon (Stannis), 48059, "climb to the rookery. I will not have you kill yourself in my service."  Maester-Cressen blinked. Stannis"
Robert-Baratheon (Robert), Renly-Baratheon (Renly), 48255, "for you; lived for you; loved you despite all? Yes; loved you; better than Robert even; or Renly"
Stannis-Baratheon (Lord-Stannis), Melisandre (Melisandre), 48643, "sit here beside me; Your Grace."  "As you will." Lord-Stannis turned away to say something to Melisandre"
Melisandre (Melisandre), Selyse-Baratheon (Lady-Selyse), 48726, "something to Melisandre; who had seated herself at his right hand; in the place of high honor. Lady-Selyse"
Cressen (Cressen), Davos-Seaworth (Ser-Davos), 48857, "smile as bright and brittle as her jewels.  Too far; Cressen thought dully; looking at where Ser-Davos"
Patchface (Patchface), Davos-Seaworth (Davos-Seaworth), 49117, "how?  Patchface was capering about as the maester made his slow way around the table to Davos-Seaworth"
Cressen (Cressen), Melisandre (red-woman), 49447, "motley tonight;" he said gloomily as Cressen seated himself; "for this is fool business were about. The red-woman"
Melisandre (red-woman), Stannis-Baratheon (Stannis), 49490, "himself; "for this is fool business were about. The red-woman has seen victory in her flames; so Stannis"
Patchface (Patchface), Cressen (Cressen), 49642, "done were all like to see what Patchface saw; I fear; the bottom of the sea."  Cressen"
Stannis-Baratheon (Stannis), Melisandre (red-woman), 49810, "fingers found the hard lumps the crystals made in the wool. "Lord-Stannis."  Stannis turned from the red-woman"
Melisandre (red-woman), Selyse-Baratheon (Lady-Selyse), 49834, "lumps the crystals made in the wool. "Lord-Stannis."  Stannis turned from the red-woman; but it was Lady-Selyse"
Stannis-Baratheon (Stannis), Selyse-Baratheon (Lady-Selyse), 49834, "lumps the crystals made in the wool. "Lord-Stannis."  Stannis turned from the red-woman; but it was Lady-Selyse"
Melisandre (red-woman), Stannis-Baratheon (King-Stannis), 49861, "made in the wool. "Lord-Stannis."  Stannis turned from the red-woman; but it was Lady-Selyse who replied. "King-Stannis"
Selyse-Baratheon (Lady-Selyse), Stannis-Baratheon (King-Stannis), 49861, "made in the wool. "Lord-Stannis."  Stannis turned from the red-woman; but it was Lady-Selyse who replied. "King-Stannis"
Stannis-Baratheon (kingStannis), Cressen (Cressen), 49980, "forget yourself; Maester."  "He is old; his mind wanders;" the-kingStannis told her gruffly. "What is it; Cressen"
Robb-Stark (Lord-Stark), Lysa-Arryn (Lady-Arryn), 50094, " "As you intend to sail; it is vital that you make common cause with Lord-Stark and Lady-Arryn"
Lysa-Arryn (Lady-Arryn), Stannis-Baratheon (Stannis-Baratheon), 50152, "make common cause with Lord-Stark and Lady-Arryn ; "  "I make common cause with no one;" Stannis-Baratheon"
Robb-Stark (Lord-Stark), Stannis-Baratheon (Stannis-Baratheon), 50152, "make common cause with Lord-Stark and Lady-Arryn ; "  "I make common cause with no one;" Stannis-Baratheon"
Stannis-Baratheon (Stannis-Baratheon), Selyse-Baratheon (Lady-Selyse), 50226, "common cause with no one;" Stannis-Baratheon said.  "No more than light makes common cause with darkness." Lady-Selyse"
Selyse-Baratheon (Lady-Selyse), Stannis-Baratheon (Stannis), 50250, "Stannis-Baratheon said.  "No more than light makes common cause with darkness." Lady-Selyse took his hand.  Stannis"
Cressen (Cressen), Melisandre (Melisandre), 50580, "all my enemies."  I have lost him; Cressen thought; despairing. If only he could somehow approach Melisandre"
Patchface (Patchface), Stannis-Baratheon (Lord-Stannis), 51492, ""Under the sea; no one wears hats;" Patchface said. "I know; I know; oh; oh; oh."  Lord-Stannis"
Selyse-Baratheon (Lady-Selyse), Stannis-Baratheon (Lord-Stannis), 52231, "bells clanged. "Perhaps he ought sing his counsel henceforth;" Lady-Selyse said.  "You go too far; woman;" Lord-Stannis"
Cressen (Cressen), Davos-Seaworth (Ser-Davos), 52406, "the last; my sweet lord; my poor lonely son; Cressen thought; for suddenly he saw the way. Ser-Davos"
